Lua Diagnostics | Errors: 0 | Warnings: 1054 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 94 | Total: 1148 | Time: 2026-06-05 08:55:01 | Dir: /workspace/scripts
---
WARN  | Analyzer.lua:71:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | Analyzer.lua:333:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | Analyzer.lua:44:24 | function ComputeBounds may be nil [need-check-nil]
WARN  | Analyzer.lua:65:25 | function CountSharpPoints may be nil [need-check-nil]
WARN  | Analyzer.lua:68:26 | function DetectComposite may be nil [need-check-nil]
WARN  | Analyzer.lua:106:23 | function ClassifyWeapon may be nil [need-check-nil]
WARN  | Analyzer.lua:109:20 | function ComputeWidthProfile may be nil [need-check-nil]
WARN  | Analyzer.lua:189:16 | function AreStrokesConnected may be nil [need-check-nil]
WARN  | Analyzer.lua:62:5 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Analyzer.lua:309:11 | Cannot assign `number` to `integer`. [assign-type-mismatch]
WARN  | Canvas.lua:121:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | Canvas.lua:201:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | Canvas.lua:197:9 | function RenderStroke may be nil [need-check-nil]
WARN  | Canvas.lua:202:9 | function RenderStroke may be nil [need-check-nil]
WARN  | PhaseRenderers.lua:194:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:214:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:245:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:251:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:275:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:320:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:357:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:358:15 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:360:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:362:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:364:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:366:13 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:368:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:371:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:371:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:372:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:373:13 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:374:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:375:14 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:381:16 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:388:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:389:20 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:390:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:391:13 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:407:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:408:20 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:409:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:410:13 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:416:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:417:13 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:418:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:419:13 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:422:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:423:15 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:424:15 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:425:20 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:426:20 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:427:15 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:430:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:432:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:432:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:433:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:438:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:440:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:440:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:441:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:446:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:447:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:447:22 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:454:26 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:457:26 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:460:26 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:463:26 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:470:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:479:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:500:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:507:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:508:15 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:509:18 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:510:13 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:511:20 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:512:20 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:513:15 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:523:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:524:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:525:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:526:24 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:527:24 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:528:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:533:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:534:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:535:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:536:17 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:541:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:542:19 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:543:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:544:17 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:569:22 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:570:24 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
WARN  | PhaseRenderers.lua:572:26 | expected `NVGContextWrapper` but found `userdata`. [param-type-mismatch]
